name	spike_lineage	genome_lineage	Ns	status_lineage	spike_lineage_group
08-268797-MB|EPI_ISL_8855117|Slovenia|BA.1.15|2021-12-31	BA.1.15	BA.1.15	0.0142383329425	Correct	BA.1
09_SE100_22CS101838|EPI_ISL_10079778|Sweden|BA.2|2022-02-08	BA.2	BA.2	0.00110571284972	Correct	BA.2
097297802|EPI_ISL_9907274|Poland|BA.2|2022-02-14	BA.2	BA.2	0.00646660604224	Correct	BA.2
101785058|EPI_ISL_10602157|Sweden|BA.2.9|2022-01-31	BA.2.9	BA.2.9	0.00976706719474	Correct	BA.2
10278971|EPI_ISL_10616057|Sweden|BA.1.17|2021-12-26	BA.1	BA.1.17	0.00536364863041	Incorrect	BA.1
10326149|EPI_ISL_10610655|Sweden|BA.2|2022-01-10	BA.2	BA.2	0.00718265422568	Correct	BA.2
10390342|EPI_ISL_10598988|Sweden|BA.2|2022-02-04	BA.2	BA.2	0.00714909042089	Correct	BA.2
1070235|EPI_ISL_11160412|South Africa|BA.2|2022-01-06	BA.2	BA.2	0.0280732462636	Correct	BA.2
10922|EPI_ISL_12649533|Norway|BA.1.1|2022-02-08	BA.1.1	BA.1.1	0.00513992004569	Correct	BA.1
12208687701|EPI_ISL_12812083|Belgium|BA.2.12|2022-05-13	BA.2.12	BA.2.12	0.00622392679316	Correct	BA.2
12210417801|EPI_ISL_13478370|Belgium|BA.2.56|2022-06-14	BA.2.56	BA.2.56	0.0148701386085	Correct	BA.2
1354|EPI_ISL_9626501|Norway|BA.1.1|2022-01-04	BA.1.1	BA.1.1	0.00366189612309	Correct	BA.1
15137|EPI_ISL_12981536|Norway|BA.2.10|2022-03-07	BA.2	BA.2.10	0.0021475789403	Incorrect	BA.2
151837|EPI_ISL_11546466|Slovenia|BA.1.1|2022-02-01	BA.1.1	BA.1.1	0.00332036490475	Correct	BA.1
15452|EPI_ISL_12649794|Norway|BA.2|2022-03-11	BA.2	BA.2	0.00211402301936	Correct	BA.2
159092|EPI_ISL_11595262|Slovenia|BA.1.1|2022-02-08	BA.1.1	BA.1.1	0.000369325812517	Correct	BA.1
166435|EPI_ISL_11588498|Slovenia|BA.1.1|2022-02-18	BA.1.1.11	BA.1.1	0.000369325812517	Incorrect	BA.1
166633|EPI_ISL_11588547|Slovenia|BA.1.1|2022-02-18	BA.1.1	BA.1.1	0.0002014166303	Correct	BA.1
16941|EPI_ISL_11813718|Greece|BA.2.3|2022-03-17	BA.2.3	BA.2.3	0.00543295995707	Correct	BA.2
17-007741-CE|EPI_ISL_10825405|Slovenia|BA.1.1|2022-01-10	BA.1.1	BA.1.1	0.002053664613	Correct	BA.1
17-032980-KR|EPI_ISL_10822502|Slovenia|BA.1.1|2022-02-15	BA.1.1	BA.1.1	0.0150216755721	Correct	BA.1
17-037248-KR|EPI_ISL_12918633|Slovenia|BA.2.3|2022-05-12	BA.2.3	BA.2.3	0.00171388244783	Correct	BA.2
17-091184-KR|EPI_ISL_8855591|Slovenia|BA.1.17.2|2021-12-28	BA.1.17.2	BA.1.17.2	0.0127281862335	Correct	BA.1
180922|EPI_ISL_13251231|Slovenia|BA.2|2022-03-22	XL	BA.2	0.000201606128826	Incorrect	XL
185739|EPI_ISL_13271874|Slovenia|BA.2|2022-04-01	BA.2	BA.2	0.000905311158798	Correct	BA.2
18835|EPI_ISL_12449822|Norway|BA.2|2022-04-04	BA.2	BA.2	NA	Correct	BA.2
1925244164|EPI_ISL_8312346|Sweden|BA.1|2021-12-20	BA.1	BA.1	0.0252191141408	Correct	BA.1
19997|EPI_ISL_12752172|Norway|BA.2|2022-04-12	BA.2	BA.2	0.0021475789403	Correct	BA.2
208931|EPI_ISL_13800600|Romania|BA.2|2022-04-14	BA.2.68	BA.2	NA	Incorrect	BA.2
2141WSN2022_wsseol|EPI_ISL_10497522|Poland|BA.1|2022-02-09	BA.1.1	BA.1	0.0262086599603	Incorrect	BA.1
21520|EPI_ISL_13181676|Norway|BA.2|2022-04-19	BA.2	BA.2	0.0116126866924	Correct	BA.2
21769118P|EPI_ISL_10597961|Sweden|BA.2|2022-02-07	XJ	BA.2	0.00718265422568	Incorrect	XJ.
21776836P|EPI_ISL_10597761|Sweden|BA.2|2022-02-07	BA.2	BA.2	0.00718265422568	Correct	BA.2
21789151P|EPI_ISL_10593312|Sweden|BA.2|2022-02-14	BA.2	BA.2	0.00718265422568	Correct	BA.2
21805864P|EPI_ISL_11093369|Sweden|BA.2|2022-03-01	BA.2.23	BA.2	0.00711767668289	Incorrect	BA.2
22-014266|EPI_ISL_11845729|Sweden|BA.2|2022-03-10	BA.2.9	BA.2	0.0183313748531	Incorrect	BA.2
22-123206|EPI_ISL_13523450|Sweden|BA.4|2022-05-24	BA.4.4	BA.4	0.00641585488747	Incorrect	BA.4
22-517950|EPI_ISL_10600304|Sweden|BA.1.1|2022-01-25	BA.1.1	BA.1.1	0.0104365918319	Correct	BA.1
22-551127|EPI_ISL_12409746|Sweden|BA.2.9|2022-04-04	BA.2.9	BA.2.9	0.00842451500302	Correct	BA.2
2201-904_wsselodz|EPI_ISL_9156942|Poland|BA.1.17.2|2022-01-05	BA.1.17.2	BA.1.17.2	0.0350233825657	Correct	BA.1
2201078585|EPI_ISL_13629986|Latvia|BA.1|2022-01-21	BA.1	BA.1	NA	Correct	BA.1
2201322427744|EPI_ISL_8838094|Poland|BA.1.17.2|2022-01-18	BA.1.17.2	BA.1.17.2	0.0174619698445	Correct	BA.1
2202-1096_wsselodz|EPI_ISL_10403715|Poland|BA.1|2022-02-06	BA.1.1	BA.1	0.035292534401	Incorrect	BA.1
22068390NO|EPI_ISL_13627347|Latvia|BA.1.17|2022-02-04	BA.1	BA.1.17	0.00228563745756	Incorrect	BA.1
22082684NO|EPI_ISL_13628457|Latvia|BA.2|2022-02-11	BA.2	BA.2	0.00448521228881	Correct	BA.2
22101217NO|EPI_ISL_13629099|Latvia|BA.2|2022-02-21	BA.2	BA.2	0.012882773506	Correct	BA.2
2261|EPI_ISL_10740233|Singapore|BA.2.4|2022-02-28	BA.2.4	BA.2.4	0.00120708154506	Correct	BA.2
2265362745|EPI_ISL_10609670|Sweden|BA.1.1.1|2022-01-14	BA.1.1	BA.1.1.1	0.00532991499123	Incorrect	BA.1
22BG-EU_014921_Pl140|EPI_ISL_10444055|Bulgaria|BA.1.1.15|2022-01-08	BA.1.1	BA.1.1.15	0.003063663603	Incorrect	BA.1
22BG-EU_015188_Pl143|EPI_ISL_10444310|Bulgaria|BA.1|2022-01-10	BA.1	BA.1	0.002390330943	Correct	BA.1
22BG-EU_016308_Pl152|EPI_ISL_11733760|Bulgaria|BA.1.1|2022-01-21	BA.1.1	BA.1.1	0.000134666532	Correct	BA.1
22BG-EU_016822_Pl158|EPI_ISL_11734232|Bulgaria|BA.1.1|2022-01-26	BA.1.1	BA.1.1	0.000134666532	Correct	BA.1
22BG-EU_018027_Pl170|EPI_ISL_13179590|Bulgaria|BA.1|2022-02-08	BA.1	BA.1	0.001178332155	Correct	BA.1
22BG-EU_018968_Pl179|EPI_ISL_13180390|Bulgaria|BA.1.17|2022-02-14	BA.1	BA.1.17	0.002221997778	Incorrect	BA.1
22BG-NC_015783_R27|EPI_ISL_10861275|Bulgaria|BA.1.1|2022-01-18	BA.1.1	BA.1.1	NA	Correct	BA.1
22CH2550|EPI_ISL_12545161|New Zealand|BA.2.10|2022-04-04	BA.2	BA.2.10	0.0399608090139	Incorrect	BA.2
22CH3408|EPI_ISL_12545041|New Zealand|BA.2|2022-04-29	BA.2	BA.2	0.029478228608	Correct	BA.2
22CH4500|EPI_ISL_13437605|New Zealand|BA.5.2.1|2022-05-26	BA.5.2.1	BA.5.2.1	3.37313634217e-05	Correct	BA.5
22CH5015|EPI_ISL_13436664|New Zealand|BA.2|2022-06-10	BA.2	BA.2	0.000978011601241	Correct	BA.2
22CV2641|EPI_ISL_11017605|New Zealand|BA.2.10|2022-02-24	BA.2	BA.2.10	0.0621691783824	Incorrect	BA.2
22CV5196|EPI_ISL_13437915|New Zealand|BA.2|2022-05-29	BA.2	BA.2	3.37347771818e-05	Correct	BA.2
22CV6105|EPI_ISL_13764447|New Zealand|BA.2|2022-06-14	BA.2	BA.2	0.0115000674491	Correct	BA.2
22M005863|EPI_ISL_10598521|Sweden|BA.2.9|2022-01-24	BA.2.9	BA.2.9	0.011512385044	Correct	BA.2
22MV0977|EPI_ISL_10626561|New Zealand|BA.2|2022-02-14	BA.2	BA.2	0.0720474697414	Correct	BA.2
22MV3442|EPI_ISL_13764226|New Zealand|BA.5.2.1|2022-06-28	BE.1.1	BA.5.2.1	3.37313634217e-05	Incorrect	BE.1
22SNR151_wsserze|EPI_ISL_9021703|Poland|BA.1|2022-01-03	BA.1.1	BA.1	0.035292534401	Incorrect	BA.1
22SNR1561_wsserze|EPI_ISL_10201808|Poland|BA.1|2022-02-05	BA.1.1	BA.1	0.035292534401	Incorrect	BA.1
22SNR2599_wsserze|EPI_ISL_12575956|Poland|BA.1|2022-02-04	BA.1.1	BA.1	0.0262086599603	Incorrect	BA.1
22V-00311|EPI_ISL_13362835|Cameroon|BA.1.1|2022-01-03	BA.1.1.7	BA.1.1	0.00605775055529	Incorrect	BA.1
2316|EPI_ISL_10740290|Singapore|BA.2|2022-02-24	BA.2	BA.2	0.00083830728992	Correct	BA.2
24177|EPI_ISL_9384670|Croatia|BA.1.1|2022-01-08	BA.1.1	BA.1.1	0.00504999495001	Correct	BA.1
261754461512|EPI_ISL_10598024|Sweden|BA.1.1.1|2022-02-05	BA.1.1	BA.1.1.1	0.0104574281473	Incorrect	BA.1
261756170665|EPI_ISL_13184736|Sweden|BA.2|2022-05-08	BA.2	BA.2	0.00947071466953	Correct	BA.2
26838|EPI_ISL_13824944|Greece|BA.5.6|2022-06-14	BE.1.1	BA.5.6	0.0111670020121	Incorrect	BE.1
26888_2|EPI_ISL_13824991|Greece|BA.4.1|2022-06-14	BA.4.1	BA.4.1	0.00675812664729	Correct	BA.4
27SVAN38051|EPI_ISL_11679569|Czech Republic|BA.2|2022-03-15	B-1-1-529	BA.2	0.0202277749448	Incorrect	B.1.1.529
28123|EPI_ISL_9975594|Croatia|BA.1.1|2022-01-25	BA.1.1	BA.1.1	0.000201945407425	Correct	BA.1
2863|EPI_ISL_9589543|Poland|BA.1|2022-02-05	BA.1	BA.1	0.0061135371179	Correct	BA.1
2927332764|EPI_ISL_10620712|Sweden|BA.1.15|2021-12-12	BA.1.15	BA.1.15	0.0104574281473	Correct	BA.1
2946887464|EPI_ISL_9511821|Sweden|BA.2|2022-01-20	BA.2	BA.2	0.0559122252794	Correct	BA.2
2956WSN2022_wsseol|EPI_ISL_11072993|Poland|BA.2|2022-03-02	BA.2	BA.2	0.0158069031443	Correct	BA.2
2995556863|EPI_ISL_9416310|Sweden|BA.1.15|2022-01-17	BA.1.15	BA.1.15	0.0331868360037	Correct	BA.1
30273|EPI_ISL_10588905|Croatia|BA.1.17.2|2022-02-10	BA.1.17.2	BA.1.17.2	NA	Correct	BA.1
30663|EPI_ISL_10589745|Croatia|BA.1.1|2022-02-08	BA.1.1	BA.1.1	NA	Correct	BA.1
31247|EPI_ISL_10805427|Croatia|BA.1.1|2022-02-16	BA.1.1	BA.1.1	NA	Correct	BA.1
31283|EPI_ISL_10805460|Croatia|BA.2|2022-02-21	BA.2	BA.2	0.0391852177144	Correct	BA.2
31479|EPI_ISL_11263785|Croatia|BA.2|2022-02-15	BA.2	BA.2	0.0135130569913	Correct	BA.2
318997|EPI_ISL_8773610|Greece|BA.1.17|2021-12-22	BA.1	BA.1.17	NA	Incorrect	BA.1
327891|EPI_ISL_10129397|Greece|BA.1.1.1|2022-01-22	BA.1.1.14	BA.1.1.1	0.00308156087757	Incorrect	BA.1
328138|EPI_ISL_10129298|Greece|BA.1|2022-01-23	BA.1	BA.1	0.00113864701942	Correct	BA.1
3295437164|EPI_ISL_11522478|Sweden|BA.2.9|2022-03-12	BA.2.9	BA.2.9	0.0861516553934	Correct	BA.2
33044|EPI_ISL_8744671|Norway|BA.1.21|2021-12-16	BA.1	BA.1.21	NA	Incorrect	BA.1
334096|EPI_ISL_11072407|Greece|BA.2|2022-02-20	BA.2	BA.2	0.000402117820521	Correct	BA.2
334106|EPI_ISL_11072312|Greece|BA.2.63|2022-02-20	BA.2	BA.2.63	0.000201133049512	Incorrect	BA.2
334507|EPI_ISL_11072364|Greece|BA.2|2022-02-22	BA.2	BA.2	3.3505327347e-05	Correct	BA.2
34624|EPI_ISL_9227129|Norway|BA.1.1|2021-12-29	BA.1.1	BA.1.1	0.000201572263657	Correct	BA.1
35381|EPI_ISL_12450089|Croatia|BA.2|2022-03-30	BA.2	BA.2	0.00550508291398	Correct	BA.2
36143|EPI_ISL_13328283|Norway|BA.1.21|2021-12-20	BA.1	BA.1.21	NA	Incorrect	BA.1
37461-LNS|EPI_ISL_13081543|Guatemala|BA.2|2022-04-19	BA.2	BA.2	0.0227196116767	Correct	BA.2
37589|EPI_ISL_13477808|Croatia|BA.2|2022-05-12	BA.2	BA.2	0.00699111756561	Correct	BA.2
38282|EPI_ISL_13774785|Croatia|BA.5.3|2022-06-10	BE.1.1	BA.5.3	0.00675607201973	Incorrect	BE.1
3861154924|EPI_ISL_12042241|Sweden|BA.2.9|2022-03-31	BA.2.9	BA.2.9	0.0189692798388	Correct	BA.2
4021058832VN|EPI_ISL_10616576|Sweden|BA.1.15|2021-12-22	BA.1.15	BA.1.15	0.0587977330994	Correct	BA.1
4021058843VN|EPI_ISL_10616567|Sweden|BA.1.17.2|2021-12-22	BA.1.17.2	BA.1.17.2	0.00701659695048	Correct	BA.1
4058126464|EPI_ISL_8253078|Sweden|BA.1.13|2021-12-20	BA.1.1	BA.1.13	0.0532625852168	Incorrect	BA.1
4062503464|EPI_ISL_10615716|Sweden|BA.1|2021-12-27	BA.1	BA.1	0.0104911617865	Correct	BA.1
4075673064|EPI_ISL_10929751|Sweden|BA.2|2022-02-25	BA.2	BA.2	0.0412490231389	Correct	BA.2
461847793872|EPI_ISL_11857131|Sweden|BA.1.17|2022-01-13	BA.1	BA.1.17	NA	Incorrect	BA.1
461847853660|EPI_ISL_11853413|Sweden|BA.2|2022-02-07	BA.2	BA.2	NA	Correct	BA.2
461847870157|EPI_ISL_11852665|Sweden|BA.2|2022-01-11	BA.2	BA.2	NA	Correct	BA.2
461847894317|EPI_ISL_11857113|Sweden|BA.1.1|2022-01-10	BA.1.1	BA.1.1	NA	Correct	BA.1
461848004294|EPI_ISL_11858478|Sweden|BA.2|2022-02-04	BA.2	BA.2	0.0404537889338	Correct	BA.2
47-19052022-05|EPI_ISL_13257778|Serbia|BA.2|2022-05-19	BA.2	BA.2	NA	Correct	BA.2
48514454X5|EPI_ISL_13522551|Sweden|BA.2.45|2022-05-25	BA.2.45	BA.2.45	0.00872922612053	Correct	BA.2
507|EPI_ISL_8770509|Singapore|BA.2|2022-01-11	BA.2.68	BA.2	0.00157395934497	Incorrect	BA.2
5251|EPI_ISL_12898272|Singapore|BA.2|2022-05-12	BA.2	BA.2	0.00223236935566	Correct	BA.2
53|EPI_ISL_8449910|Singapore|BA.1.1|2022-01-02	BA.1.1	BA.1.1	0.00197595364882	Correct	BA.1
5310|EPI_ISL_12898331|Singapore|BA.2.3|2022-05-16	BA.2.3	BA.2.3	0.0102759340993	Correct	BA.2
58099|EPI_ISL_9958740|Slovenia|BA.1.1|2022-01-14	BA.1.1.11	BA.1.1	0.000268618628702	Incorrect	BA.1
587303|EPI_ISL_9513187|Slovenia|BA.1.1|2021-12-28	BA.1.1	BA.1.1	0.000402860308188	Correct	BA.1
6115611-02|EPI_ISL_13827067|Estonia|BA.2.3|2022-06-15	BA.2.3	BA.2.3	0.00695875418032	Correct	BA.2
6221163976|EPI_ISL_9511738|Sweden|BA.1|2022-01-20	BA.1	BA.1	0.00738958001424	Correct	BA.1
666|EPI_ISL_8927170|Singapore|BA.1.17.2|2022-01-10	BA.1.17.2	BA.1.17.2	NA	Correct	BA.1
6753|EPI_ISL_13360346|Singapore|BA.2|2022-06-14	BA.2	BA.2	NA	Correct	BA.2
6803|EPI_ISL_13360396|Singapore|BA.5.1|2022-06-15	BE.1.1	BA.5.1	0.0145024842218	Incorrect	BE.1
705|EPI_ISL_8927198|Singapore|BA.1.17|2022-01-16	BA.1	BA.1.17	0.000804289544236	Incorrect	BA.1
7066|EPI_ISL_13500310|Singapore|BA.2|2022-06-19	BA.2.68	BA.2	0.000502815768302	Incorrect	BA.2
7122067042|EPI_ISL_11515047|Brunei|BA.2.3|2022-03-05	BA.2.3	BA.2.3	0.00674813670852	Correct	BA.2
7152|EPI_ISL_10357481|Norway|BA.1|2022-01-31	BA.1	BA.1	NA	Correct	BA.1
7153|EPI_ISL_13512265|Singapore|BA.2.40.1|2022-06-19	BA.2.40.1	BA.2.40.1	0.000737487848212	Correct	BA.2
742505|EPI_ISL_13627208|Latvia|BA.2|2022-04-08	BA.2.68	BA.2	0.0563493931345	Incorrect	BA.2
7630|EPI_ISL_13626286|Singapore|BA.2|2022-06-28	BA.2.79	BA.2	0.000906313987446	Incorrect	BA.2
77SVUPHA_7769580479|EPI_ISL_13843908|Czech Republic|BA.5.2.3|2022-06-13	BE.1.1	BA.5.2.3	3.36972637822e-05	Incorrect	BE.1
7911|EPI_ISL_12649483|Norway|BA.1.21|2022-02-08	BA.1	BA.1.21	NA	Incorrect	BA.1
8214|EPI_ISL_13773297|Singapore|BA.5.2|2022-07-04	BE.1.1	BA.5.2	0.00251475321888	Incorrect	BE.1
8314|EPI_ISL_10996148|Mauritius|BA.2.10|2022-02-07	BA.2	BA.2.10	0.057853747345	Incorrect	BA.2
8734361-GMI|EPI_ISL_11679476|Belize|BA.1|2021-12-28	BA.1	BA.1	NA	Correct	BA.1
90-081185-NM|EPI_ISL_8857014|Slovenia|BA.1.17.2|2021-12-30	BA.1.17.2	BA.1.17.2	0.00770467640359	Correct	BA.1
9080|EPI_ISL_7877429|Singapore|BA.1.17.2|2021-12-14	BA.1.17.2	BA.1.17.2	0.00237951605335	Correct	BA.1
9222098652|EPI_ISL_11767056|Brunei|BA.2.3|2022-02-23	BA.2.3	BA.2.3	0.00688219693155	Correct	BA.2
9297|EPI_ISL_10197636|Poland|BA.1|2022-02-22	BA.1	BA.1	0.00611579690178	Correct	BA.1
A454|EPI_ISL_11754716|Malaysia|BA.1.1|2021-12-30	BA.1.1	BA.1.1	6.73763643714e-05	Correct	BA.1
AB-ABPHL-47033|EPI_ISL_8595364|Canada|BA.1.1.16|2021-12-21	BA.1.1	BA.1.1.16	0.0278516822147	Incorrect	BA.1
AB-ABPHL-50860|EPI_ISL_9501857|Canada|BA.1.1|2022-01-13	BA.1.1	BA.1.1	0.0279190381571	Correct	BA.1
AB-ABPHL-54035|EPI_ISL_10651806|Canada|BA.1|2022-02-01	BA.1	BA.1	0.000370570004043	Correct	BA.1
AB-ABPHL-61808|EPI_ISL_12423570|Canada|BA.2|2022-03-23	BA.2.23	BA.2	0.0930906639703	Incorrect	BA.2
AB-ABPHL-62385|EPI_ISL_12599608|Canada|BA.2.12.1|2022-04-02	BA.2.12.1	BA.2.12.1	0.0577350859454	Correct	BA.2
AB-ABPHL-62630|EPI_ISL_12599823|Canada|BA.2.3|2022-04-05	BA.2.3	BA.2.3	0.0648207480355	Correct	BA.2
AB-ABPHL-62861|EPI_ISL_12600008|Canada|BA.1.1.16|2022-03-30	BA.1.1	BA.1.1.16	0.0278516822147	Incorrect	BA.1
AB-ABPHL-62880|EPI_ISL_12600023|Canada|BA.2.3|2022-03-30	BA.2.3	BA.2.3	0.0802157061004	Correct	BA.2
AB-ABPHL-63310|EPI_ISL_12600384|Canada|BA.2|2022-04-07	BA.2.68	BA.2	0.0577350859454	Incorrect	BA.2
AB-ABPHL-65794|EPI_ISL_12832142|Canada|BA.2|2022-05-01	BA.2	BA.2	0.0519695130177	Correct	BA.2
AB-ABPHL-66652|EPI_ISL_13103278|Canada|BA.2.3|2022-05-05	BA.2.3	BA.2.3	0.0303091601767	Correct	BA.2
AB-ABPHL-68659|EPI_ISL_13349101|Canada|BA.2|2022-05-17	BA.2	BA.2	0.00647314655608	Correct	BA.2
AB-ABPHL-69241|EPI_ISL_13454943|Canada|BA.2.3|2022-05-24	BA.2.3	BA.2.3	0.000101142914939	Correct	BA.2
ACT-2498|EPI_ISL_8331841|Australia|BA.1.17|2021-12-30	BA.1.1	BA.1.17	0.0802097690523	Incorrect	BA.1
ACT2611|EPI_ISL_8768435|Australia|BA.1.17|2022-01-02	BA.1	BA.1.17	0.00813527414529	Incorrect	BA.1
ACT4872|EPI_ISL_12434246|Australia|BA.2|2022-04-03	BA.2.68	BA.2	0.00743506930427	Incorrect	BA.2
ACT4977|EPI_ISL_12434319|Australia|BA.2.3|2022-04-07	BA.2.3	BA.2.3	0.00053828556049	Correct	BA.2
ACT5650|EPI_ISL_13227864|Australia|BA.2|2022-05-05	BA.2.68	BA.2	NA	Incorrect	BA.2
AG_507895|EPI_ISL_11835853|Romania|BA.2|2022-02-22	BA.2	BA.2	0.00241886716388	Correct	BA.2
AG-ETHZ-35536717|EPI_ISL_9048106|Switzerland|BA.1|2022-01-03	BA.1	BA.1	NA	Correct	BA.1
AG-ETHZ-35947157|EPI_ISL_9771536|Switzerland|BA.1.1|2022-01-23	BA.1.1	BA.1.1	0.0113174597844	Correct	BA.1
AG-ETHZ-36573197|EPI_ISL_11168883|Switzerland|BA.1.1.1|2022-03-01	BA.1.1	BA.1.1.1	0.011250293851	Incorrect	BA.1
AGES-637922|EPI_ISL_11024770|Austria|BA.1.1|2022-02-01	BA.1.1	BA.1.1	0.0272905803481	Correct	BA.1
AGES-663562|EPI_ISL_12317032|Austria|BA.2|2022-02-28	BA.2	BA.2	0.0302608813651	Correct	BA.2
Ahus-2769|EPI_ISL_8648921|Norway|BA.1.21|2022-01-09	BA.1.17.2	BA.1.21	0.022691363835	Incorrect	BA.1
Ahus-3916|EPI_ISL_13697604|Norway|BA.5.2.1|2022-06-20	BE.1.1	BA.5.2.1	0.00178187197418	Incorrect	BE.1
aicbu4168|EPI_ISL_9285976|Sri Lanka|BA.1.21|2022-01-18	BA.1.21	BA.1.21	0.0127685447912	Correct	BA.1
AK-CDC-ASC210499797|EPI_ISL_8951238|USA|BA.1.20|2021-12-30	BA.1	BA.1.20	0.0127206820165	Incorrect	BA.1
AK-CDC-ASC210722317|EPI_ISL_12113419|USA|BA.2.3|2022-04-01	BA.2.3	BA.2.3	0.0131458269642	Correct	BA.2
AK-CDC-LC0482294|EPI_ISL_9179851|USA|BA.1.20|2022-01-06	BA.1	BA.1.20	NA	Incorrect	BA.1
AK-PHL16886|EPI_ISL_9090030|USA|BA.1|2022-01-10	BA.1	BA.1	0.0138781804163	Correct	BA.1
AK-PHL20692|EPI_ISL_13295531|USA|BA.2.12.1|2022-05-17	BA.2.12.1	BA.2.12.1	0.0243640151897	Correct	BA.2
AL-CDC-ASC210592954|EPI_ISL_9335589|USA|BA.1.1.8|2022-01-16	B.1.1	BA.1.1.8	0.00221528546974	Incorrect	B.1
AL-CDC-STM-BM4W5XXKF|EPI_ISL_13581919|USA|BA.5|2022-06-19	BE.1.1	BA.5	NA	Incorrect	BE.1
AL-CDC-STM-H43JSE5AZ|EPI_ISL_13072391|USA|BA.2.3|2022-05-22	BA.2.3	BA.2.3	3.35008375209e-05	Correct	BA.2
AL-CDC-STM-H9HVZA879|EPI_ISL_13581854|USA|BA.2.12.1|2022-06-19	BA.2.12.1	BA.2.12.1	NA	Correct	BA.2
AL-FIOCRUZ-IAM7519|EPI_ISL_10069830|Brazil|BA.1.15|2022-01-06	BA.1.15.3	BA.1.15	0.023366682334	Incorrect	BA.1
AL-UAB-GX2187|EPI_ISL_10910123|USA|BA.1.15|2022-02-07	BA.1.15	BA.1.15	0.00722203560632	Correct	BA.1
ALDP-2E91DBE|EPI_ISL_7969023|United Kingdom|BA.1|2021-12-12	BA.1	BA.1	0.0063537954683	Correct	BA.1
ALDP-2EA6ABF|EPI_ISL_7893633|United Kingdom|BA.1|2021-12-13	BA.1	BA.1	0.00719400275658	Correct	BA.1
ALDP-2EAFF20|EPI_ISL_7974011|United Kingdom|BA.1|2021-12-12	BA.1	BA.1	0.0143207718425	Correct	BA.1
ALDP-2EDBB27|EPI_ISL_7991183|United Kingdom|BA.1.17.2|2021-12-14	BA.1.17.2	BA.1.17.2	0.0168084176556	Correct	BA.1
ALDP-2F81CFF|EPI_ISL_8168202|United Kingdom|BA.1|2021-12-19	BA.1	BA.1	0.0133795004538	Correct	BA.1
ALDP-302EAF6|EPI_ISL_8342109|United Kingdom|BA.1.17.2|2021-12-27	BA.1.17.2	BA.1.17.2	0.0137829024776	Correct	BA.1
ALDP-30634E8|EPI_ISL_8452054|United Kingdom|BA.1.17.2|2021-12-29	BA.1.17.2	BA.1.17.2	0.0142540173469	Correct	BA.1
ALDP-3089877|EPI_ISL_8446317|United Kingdom|BA.1.1|2021-12-30	BA.1.1	BA.1.1	0.0172118196793	Correct	BA.1
ALDP-3092486|EPI_ISL_8499572|United Kingdom|BA.1|2021-12-31	BA.1	BA.1	0.0172118196793	Correct	BA.1
ALDP-309251A|EPI_ISL_8441468|United Kingdom|BA.1.15.1|2021-12-30	BA.1.15.1	BA.1.15.1	0.0148922580428	Correct	BA.1
ALDP-30F32F2|EPI_ISL_8535574|United Kingdom|BA.1.15.1|2022-01-02	BA.1.15.1	BA.1.15.1	0.0392064559516	Correct	BA.1
ALDP-30F490B|EPI_ISL_8621000|United Kingdom|BA.1|2022-01-02	BA.1	BA.1	0.0105556862877	Correct	BA.1
